player,name,search_key,nationalite,nationalites_brut,postes,nb_clubs,apps_top5,sitelinks,championnats,first_year,last_year,matchs_grands_clubs,score,difficulte
Q7406641,Salvatore D'Elia,salvatore delia,Italie,Italie,défenseur,5,0,7,SA,2009,2013,0,7,exclu
Q7406644,Salvatore Del Sole,salvatore del sole,Italie,Italie,milieu de terrain,8,0,4,SA,2006,2014,0,4,exclu
Q7406657,Salvatore Giardina,salvatore giardina,Italie,Italie,milieu de terrain,9,0,3,SA,1998,2012,0,3,exclu
Q7406674,Salvatore Molina,salvatore molina,Italie,Italie,milieu excentré,7,10,10,SA,2011,2016,0,11,legende
Q7407083,Sam Aiston,sam aiston,Royaume-Uni,Royaume-Uni,milieu de terrain,11,4,5,PL,1995,2011,0,5,exclu
Q7407108,Sam Ashton,sam ashton,Royaume-Uni,Royaume-Uni,gardien de but,5,0,6,PL,2005,2013,0,6,exclu
Q7407361,Sam Cox,sam cox,Royaume-Uni,Royaume-Uni,défenseur,7,0,11,PL,2009,2013,0,11,exclu
Q7407631,Sam Hoskins,sam hoskins,Royaume-Uni,Royaume-Uni,attaquant,7,0,9,PL,2011,2015,0,9,exclu
Q7407943,Sam Morsy,sam morsy,Égypte,Royaume-Uni,milieu de terrain,8,38,36,PL,2009,2025,0,40,legende
Q7407977,Sam Oji,sam oji,Royaume-Uni,Royaume-Uni,défenseur,9,0,7,PL,2004,2014,0,7,exclu
Q7407998,Sam Parkin,sam parkin,Écosse,Royaume-Uni,attaquant,14,0,4,PL,1998,2014,0,4,exclu
Q7408101,Sam Russell,sam russell,Royaume-Uni,Royaume-Uni,gardien de but,8,0,6,PL,2000,2016,0,6,exclu
Q7408251,Sam Tillen,sam tillen,Royaume-Uni,Royaume-Uni,arrière latéral,4,0,4,PL,2002,2012,0,4,exclu
Q7408252,Sam Togwell,sam togwell,Royaume-Uni,Royaume-Uni,milieu de terrain,9,0,5,PL,2002,2014,0,5,exclu
Q7408288,Sam Walker,sam walker,Royaume-Uni,Royaume-Uni,gardien de but,6,0,5,PL,2010,2014,0,5,exclu
Q7408339,Sam Williams,sam williams,Royaume-Uni,Royaume-Uni,attaquant,8,0,3,PL,2006,2013,0,3,exclu
Q7408961,Samba N'Diaye,samba ndiaye,France / Sénégal,France / Sénégal,attaquant,11,3,6,L1,1988,2006,0,6,exclu
Q7409519,Samir Lacheheb,samir lacheheb,Algérie / France,Algérie / France,milieu de terrain,7,0,4,SA,2006,2013,0,4,exclu
